2025-03-10 21:57:53,276 - Logging initialized (multi-board crawler)
2025-03-10 21:58:12,129 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741428091.A.F89.html
2025-03-10 21:58:12,299 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741429192.A.44D.html
2025-03-10 21:58:12,428 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741430201.A.BB7.html
2025-03-10 21:58:12,510 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741433558.A.306.html
2025-03-10 21:58:12,730 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741442318.A.848.html
2025-03-10 21:58:12,795 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741448861.A.971.html
2025-03-10 21:58:12,868 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741473920.A.375.html
2025-03-10 21:58:12,911 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741476899.A.554.html
2025-03-10 21:58:13,914 - [NBA] Processing page 6497, progress: 7/104 (6.7%)
2025-03-10 21:58:14,030 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741402419.A.309.html
2025-03-10 21:58:14,249 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741402818.A.452.html
2025-03-10 21:58:14,378 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741403584.A.9D5.html
2025-03-10 21:58:14,558 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741403799.A.08B.html
2025-03-10 21:58:14,668 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741403865.A.C0A.html
2025-03-10 21:58:14,789 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741403873.A.1BE.html
2025-03-10 21:58:14,854 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741403919.A.F9B.html
2025-03-10 21:58:14,989 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741404928.A.CEA.html
2025-03-10 21:58:15,118 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741404938.A.CB6.html
2025-03-10 21:58:15,238 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741408006.A.3C0.html
2025-03-10 21:58:15,368 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741411554.A.82C.html
2025-03-10 21:58:15,629 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741412061.A.690.html
2025-03-10 21:58:15,850 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741412795.A.447.html
2025-03-10 21:58:16,140 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741413047.A.E81.html
2025-03-10 21:58:16,258 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741413605.A.52F.html
2025-03-10 21:58:16,378 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741413615.A.4BC.html
2025-03-10 21:58:16,529 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741413657.A.7D5.html
2025-03-10 21:58:16,589 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741413666.A.A57.html
2025-03-10 21:58:16,657 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741413822.A.0BB.html
2025-03-10 21:58:16,768 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741414385.A.F64.html
2025-03-10 21:58:17,769 - [NBA] Processing page 6496, progress: 8/104 (7.7%)
2025-03-10 21:58:17,959 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741358061.A.361.html
2025-03-10 21:58:18,119 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741361725.A.73F.html
2025-03-10 21:58:18,190 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741361859.A.28C.html
2025-03-10 21:58:18,273 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741363179.A.F5E.html
2025-03-10 21:58:18,378 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741367504.A.C38.html
2025-03-10 21:58:18,454 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741374091.A.4CC.html
2025-03-10 21:58:18,568 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741388549.A.228.html
2025-03-10 21:58:18,631 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741388989.A.F7C.html
2025-03-10 21:58:18,748 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741390772.A.E38.html
2025-03-10 21:58:18,878 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741392005.A.813.html
2025-03-10 21:58:18,922 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741392042.A.F96.html
2025-03-10 21:58:19,038 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741393821.A.DF1.html
2025-03-10 21:58:19,097 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741393845.A.9AC.html
2025-03-10 21:58:19,154 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741393845.A.603.html
2025-03-10 21:58:19,287 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741396050.A.8C4.html
2025-03-10 21:58:19,448 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741396414.A.40A.html
2025-03-10 21:58:19,568 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741399775.A.824.html
2025-03-10 21:58:19,941 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741401005.A.FCA.html
2025-03-10 21:58:19,993 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741401023.A.0E2.html
2025-03-10 21:58:20,050 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741401488.A.149.html
2025-03-10 21:58:21,051 - [NBA] Processing page 6495, progress: 9/104 (8.7%)
2025-03-10 21:58:21,269 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741329036.A.CC5.html
2025-03-10 21:58:21,389 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741329643.A.4CF.html
2025-03-10 21:58:21,528 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741329892.A.82B.html
